time_stamp,head_x,head_y,head_z,left_x,left_y,left_z,right_x,right_y,right_z
1743872014,0.09942627,-0.315673828,0.986328125,-0.121276855,-0.222412109,0.373779297,0.031890869,-0.051208496,0.374755859
1743872015,0.210571289,-0.340576172,0.913574219,-0.066772461,-0.229614258,0.327392578,0.079528809,-0.053497314,0.322998047
1743872019,0.622070313,-0.752929688,0.911132813,0.38671875,-0.638671875,0.308349609,0.533691406,-0.463867188,0.313232422
1743872035,0.676757813,-0.821289063,0.750488281,0.639160156,-0.876953125,0.170532227,0.733886719,-0.701171875,0.115478516
1743872080,0.680175781,-0.779785156,0.727539063,0.557617188,-0.820800781,0.111999512,0.704589844,-0.674316406,0.145874023
1743872081,0.693359375,-0.772949219,0.728027344,0.561523438,-0.818847656,0.114440918,0.720214844,-0.678710938,0.119995117
1743872082,0.659179688,-0.677734375,0.720703125,0.547363281,-0.782226563,0.108764648,0.676269531,-0.611816406,0.111572266
1743872083,0.6328125,-0.668457031,0.72265625,0.515625,-0.731445313,0.10723877,0.649414063,-0.595214844,0.106445313
1743872084,0.630859375,-0.650390625,0.726074219,0.543945313,-0.748046875,0.105834961,0.64453125,-0.583984375,0.1171875
1743872085,0.614257813,-0.645019531,0.724609375,0.532714844,-0.731445313,0.108276367,0.603515625,-0.544921875,0.108703613
1743872096,0.58203125,-0.662597656,0.772460938,0.421875,-0.647460938,0.140380859,0.585449219,-0.495361328,0.136230469
1743872112,0.441894531,-0.686035156,0.741210938,0.325683594,-0.6640625,0.115966797,0.474365234,-0.502929688,0.121154785
1743872147,0.484619141,-0.450439453,0.745605469,0.356201172,-0.603027344,0.133178711,0.51953125,-0.508789063,0.101135254
1743872147,0.419189453,-0.440429688,0.705078125,0.331787109,-0.603515625,0.103942871,0.437255859,-0.423339844,0.101928711
1743872148,0.315673828,-0.360595703,0.719726563,0.245605469,-0.507324219,0.108215332,0.431396484,-0.41796875,0.091430664
1743872148,0.171020508,-0.19909668,0.664550781,0.228881836,-0.491455078,0.096984863,0.396728516,-0.297119141,0.169799805
1743872148,0.098754883,-0.150146484,0.640625,0.244140625,-0.478027344,0.106628418,0.298583984,-0.305664063,0.092163086
1743872154,0.405029297,-0.574707031,1.09765625,0.204223633,-0.385009766,0.178466797,0.283447266,-0.299316406,0.090515137
1743872154,0.41015625,-0.578613281,1.096679688,0.204223633,-0.385009766,0.178466797,0.432861328,-0.403320313,0.457275391
1743872154,0.418457031,-0.584960938,1.095703125,0.204223633,-0.385009766,0.178466797,0.441894531,-0.411865234,0.456054688
1743872163,0.811523438,-0.975585938,0.980957031,0.204223633,-0.385009766,0.178466797,0.931640625,-0.849609375,0.366943359
1743872163,0.748535156,-0.927734375,1.151367188,0.204223633,-0.385009766,0.178466797,0.858398438,-0.813964844,0.487792969
1743872163,0.750488281,-0.923828125,1.172851563,0.204223633,-0.385009766,0.178466797,0.880859375,-0.794433594,0.5234375
1743872166,0.723632813,-1.034179688,0.986328125,0.204223633,-0.385009766,0.178466797,0.813476563,-0.959472656,0.2734375
1743872168,0.719726563,-1.026367188,0.848144531,0.204223633,-0.385009766,0.178466797,0.833984375,-0.91796875,0.141235352
1743872169,0.759277344,-1.040039063,0.809082031,0.204223633,-0.385009766,0.178466797,0.892089844,-1.043945313,0.103820801
1743872173,0.760253906,-0.977539063,0.711425781,0.204223633,-0.385009766,0.178466797,0.880859375,-0.81640625,0.164916992
1743872177,0.760742188,-0.975097656,0.711914063,0.204223633,-0.385009766,0.178466797,0.841796875,-0.788574219,0.118530273
1743872214,0.752441406,-0.970214844,0.712402344,0.648925781,-0.966796875,0.106872559,0.815429688,-0.810546875,0.118347168
1743872368,0.749023438,-0.966308594,0.711914063,0.641601563,-0.96484375,0.105163574,0.762695313,-0.763183594,0.215087891
