time,swing_leg,x,z,step_length,step_duration
0.10400000000000001,left,0.324462890625,0.10955810546875,6.103515625e-05,0.10200000000000001
0.212,left,0.324462890625,0.1094970703125,6.103515625e-05,0.10799999999999998
0.314,left,0.324462890625,0.10943603515625,6.103515625e-05,0.10200000000000001
0.424,left,0.324462890625,0.10943603515625,0.0,0.10999999999999999
0.536,left,0.324462890625,0.1094970703125,6.103515625e-05,0.11200000000000004
0.642,left,0.324462890625,0.10943603515625,6.103515625e-05,0.10599999999999998
0.746,left,0.324462890625,0.10955810546875,0.0001220703125,0.10399999999999998
0.852,left,0.324462890625,0.1094970703125,6.103515625e-05,0.10599999999999998
0.9560000000000001,left,0.324462890625,0.10943603515625,6.103515625e-05,0.10400000000000009
1.064,left,0.324462890625,0.10943603515625,0.0,0.10799999999999998
1.18,left,0.324462890625,0.1094970703125,6.103515625e-05,0.11599999999999988
1.282,left,0.324462890625,0.1094970703125,0.0,0.10200000000000009
1.3860000000000001,left,0.324462890625,0.10943603515625,6.103515625e-05,0.10400000000000009
1.498,left,0.324462890625,0.1094970703125,6.103515625e-05,0.11199999999999988
1.6,left,0.324462890625,0.10943603515625,6.103515625e-05,0.10200000000000009
1.706,left,0.324462890625,0.1094970703125,6.103515625e-05,0.10599999999999987
1.808,left,0.324462890625,0.1094970703125,0.0,0.10200000000000009
1.9140000000000001,left,0.324462890625,0.10943603515625,6.103515625e-05,0.1060000000000001
2.016,left,0.324462890625,0.10943603515625,0.0,0.10199999999999987
2.122,left,0.324462890625,0.1094970703125,6.103515625e-05,0.10599999999999987
2.24,left,0.324462890625,0.109375,0.0001220703125,0.11800000000000033
2.346,left,0.324462890625,0.10943603515625,6.103515625e-05,0.10599999999999987
2.454,left,0.324462890625,0.1094970703125,6.103515625e-05,0.1080000000000001
2.5540000000000003,left,0.32421875,0.10968017578125,0.00030517578125,0.10000000000000009
2.658,left,0.324462890625,0.1094970703125,0.00030517578125,0.10399999999999965
2.762,left,0.324462890625,0.10943603515625,6.103515625e-05,0.10400000000000009
2.862,left,0.324462890625,0.109375,6.103515625e-05,0.10000000000000009
2.968,left,0.324462890625,0.109375,0.0,0.10599999999999987
3.0700000000000003,left,0.324462890625,0.1094970703125,0.0001220703125,0.10200000000000031
3.174,left,0.324462890625,0.109375,0.0001220703125,0.10399999999999965
3.2760000000000002,left,0.324462890625,0.109619140625,0.000244140625,0.10200000000000031
3.378,left,0.324462890625,0.10955810546875,6.103515625e-05,0.10199999999999987
3.48,left,0.324462890625,0.109619140625,6.103515625e-05,0.10199999999999987
3.584,left,0.324462890625,0.10955810546875,6.103515625e-05,0.10400000000000009
3.704,left,0.324462890625,0.10943603515625,0.0001220703125,0.1200000000000001
3.8040000000000003,left,0.324462890625,0.1094970703125,6.103515625e-05,0.10000000000000009
3.908,left,0.324462890625,0.10943603515625,6.103515625e-05,0.10399999999999965
4.0120000000000005,left,0.324462890625,0.1094970703125,6.103515625e-05,0.10400000000000054
4.114,left,0.324462890625,0.1094970703125,0.0,0.10199999999999942
4.216,left,0.324462890625,0.1094970703125,0.0,0.10200000000000031
4.322,left,0.324462890625,0.1094970703125,0.0,0.10599999999999987
4.43,left,0.324462890625,0.1094970703125,0.0,0.10799999999999965
4.538,left,0.324462890625,0.10943603515625,6.103515625e-05,0.10800000000000054
4.65,left,0.324462890625,0.1094970703125,6.103515625e-05,0.1120000000000001
