time,swing_leg,x,z,step_length,step_duration
4.64,left,-0.028610229,0.128051758,0.0003674803175817496,0.10199999999999942
4.74,left,-0.028549194,0.127319336,0.0007349607182081058,0.10000000000000053
4.852,left,-0.028610229,0.127441406,0.0001364784090067018,0.1120000000000001
4.96,left,-0.028564453,0.127685547,0.00024839539057116514,0.10799999999999965
5.0680000000000005,left,-0.028518677,0.127319336,0.0003690608875199374,0.10800000000000054
5.172,left,-0.028594971,0.127441406,0.00014395089209866198,0.1039999999999992
5.2,right,0.126831055,0.129272461,0.0,1.616
5.274,left,-0.028564453,0.127319336,0.00012582699719853636,0.10200000000000031
5.348,right,0.126708984,0.129272461,0.00012207100000000137,0.1479999999999997
5.378,left,-0.028625488,0.127441406,0.0001364784090067018,0.10400000000000009
5.482,left,-0.028594971,0.127441406,3.0517000000000738e-05,0.10400000000000009
5.53,right,0.126831055,0.129272461,0.00012207100000000137,0.18200000000000038
5.586,left,-0.028610229,0.127929688,0.0004885203353884118,0.10400000000000009
5.696,left,-0.028549194,0.127319336,0.0006133961486095347,0.10999999999999943
5.7,right,0.126708984,0.129272461,0.00012207100000000137,0.16999999999999993
5.804,left,-0.028533936,0.127319336,1.5258000000000632e-05,0.10800000000000054
5.816,right,0.126708984,0.129394531,0.0001220700000000019,0.11599999999999966
5.916,left,-0.028549194,0.127319336,1.5258000000000632e-05,0.1120000000000001
6.018,left,-0.028564453,0.127319336,1.5259000000000106e-05,0.10199999999999942
6.04,right,0.126708984,0.129272461,0.0001220700000000019,0.2240000000000002
6.12,left,-0.028656006,0.127441406,0.00015258780000052653,0.10200000000000031
6.222,left,-0.028518677,0.127319336,0.00018373986813155445,0.10200000000000031
6.292,right,0.126708984,0.129272461,0.0,0.2519999999999998
6.324,left,-0.028503418,0.127197266,0.00012302000642578617,0.10199999999999942
6.392,right,0.126831055,0.129272461,0.00012207100000000137,0.10000000000000053
6.426,left,-0.028671265,0.127441406,0.00029627175870980784,0.10200000000000031
6.518,right,0.126708984,0.129638672,0.0003860204988883416,0.12599999999999945
6.5280000000000005,left,-0.028625488,0.127807617,0.0003690610115550054,0.10200000000000031
6.632000000000001,right,0.126586914,0.129760742,0.0001726330495588864,0.11400000000000077
6.636,left,-0.028701782,0.127563477,0.0002557833341639003,0.10799999999999965
6.734,right,0.126586914,0.129760742,0.0,0.10199999999999942
6.738,left,-0.028762817,0.127563477,6.103500000000095e-05,0.10200000000000031
